domain,category,h_index
https://sedac.ciesin.columbia.edu/,social,1
https://seg.org/,economic,0
https://seg.org/,social,0
https://ses.library.usyd.edu.au/,economic,1
https://ses.library.usyd.edu.au/,social,1
https://shareok.org/,social,0
https://snd.gu.se/,social,0
https://spectrum.library.concordia.ca/,social,1
https://springernature.figshare.com/,economic,0
https://springernature.figshare.com/,social,0
https://srda.sinica.edu.tw/,economic,1
https://srda.sinica.edu.tw/,social,1
https://ssh.datastations.nl/,economic,0
https://ssh.datastations.nl/,social,1
https://surveybanken.sikt.no/,economic,0
https://tes-sfa.ornl.gov/,social,0
https://trace.utk.edu/,social,0
https://uclandata.uclan.ac.uk/,social,0
https://upcommons.upc.edu/,social,1
https://urgi.versailles.inra.fr/,social,0
https://uvadoc.uva.es/,economic,0
https://uvadoc.uva.es/,social,0
https://vedas.sac.gov.in/,economic,0
https://vedas.sac.gov.in/,social,0
https://vuir.vu.edu.au/,social,0
https://waterdams.nawihub.org/,economic,0
https://wellcomeopenresearch.org/,economic,0
https://wellcomeopenresearch.org/,social,1
https://wiki.cancerimagingarchive.net/,social,0
https://wiley.figshare.com/,social,0
https://wiredspace.wits.ac.za/,social,0
https://www.aarp.org/,social,4
https://www.accessscience.com/,economic,0
https://www.accessscience.com/,social,1
https://www.aeaweb.org/,economic,0
https://www.ahajournals.org/,economic,0
https://www.ahajournals.org/,social,0
https://www.anl.gov/,social,0
https://www.arm.gov/,social,0
https://www.authorea.com/,economic,3
https://www.authorea.com/,social,4
https://www.cambridge.org/,economic,0
https://www.cambridge.org/,social,0
https://www.ccdc.cam.ac.uk/,social,0
https://www.cefas.co.uk/,social,0
https://www.compadre.org/,economic,0
https://www.compadre.org/,social,0
https://www.cosmos.esa.int/,economic,0
https://www.cosmos.esa.int/,social,0
https://www.crossref.org/,economic,0
https://www.crossref.org/,social,0
https://www.cuahsi.org/,social,0
https://www.datacommons.psu.edu/,social,0
https://www.datalumos.org/,economic,0
https://www.degruyter.com/,economic,5
https://www.degruyter.com/,social,7
https://www.disc.wisc.edu/,economic,0
https://www.disc.wisc.edu/,social,0
https://www.ebi.ac.uk/,economic,0
https://www.ebi.ac.uk/,social,0
https://www.editage.com/,economic,1
https://www.editage.com/,social,1
https://www.erudit.org/,economic,0
https://www.erudit.org/,social,0
